word,length,arousal,valence,dominance,concreteness,imageability,familiarity,aoa,semsize,gender,polysemy,log_freq,number_of_meanings,avg_variance_between_meanings,PoS,sentiment
actor,5,5.515,6.281,5.618,5.7,5.97,6.065,3.371,4.455,5.588,0,7.211731515656413,0,0.0,NOUN,1.0
actress,7,5.719,5.939,5.121,6.031,6.576,5.846,3.412,4.147,1.303,0,6.845721487352371,0,0.0,NOUN,1.0
actual,6,4.121,5.559,5.235,3.118,2.636,6.242,3.941,4.206,4.118,0,7.628929540422348,0,0.0,ADJ,1.0
actually,8,4.294,5.543,5.177,2.677,2.2,6.235,3.824,4.029,3.088,0,7.841638824683623,0,0.0,ADV,1.0
acute,5,4.235,4.941,4.912,3.235,2.824,4.182,5.765,2.677,3.618,0,7.046449937603902,0,0.0,ADJ,1.0
adage,5,3.118,5.222,5.222,3.588,2.235,2.088,6.136,3.647,4.053,0,5.622377759466939,0,0.0,NOUN,1.0
adapt,5,4.188,6.086,5.8,3.114,3.029,5.324,4.743,4.2,3.824,0,6.669834284735751,0,0.0,VERB,1.0
add,3,4.0,5.647,5.618,4.286,3.943,6.265,2.353,3.714,4.114,0,8.58797094653834,0,0.0,VERB,2.0
addict,6,4.857,2.171,3.086,4.4,5.0,5.273,5.4,4.771,4.886,0,6.46391044995942,0,0.0,NOUN,1.0
addicted,8,6.094,2.424,2.364,3.515,3.121,5.727,4.969,5.484,4.969,0,6.377813481769438,0,0.0,ADJ,1.0
addition,8,3.4,5.457,5.629,3.677,3.382,5.412,3.371,4.314,3.8,0,7.86590003574513,0,0.0,NOUN,1.0
address,7,3.206,5.382,5.364,5.059,4.343,5.839,3.371,3.912,4.0,1,8.41809050126235,2,0.501245388888889,NOUN,1.0
adequate,8,3.778,5.333,4.765,2.5,2.912,5.281,5.571,3.794,4.056,0,7.176783840515689,0,0.0,ADJ,1.0
adjective,9,3.636,5.394,4.844,3.594,2.844,5.613,4.182,3.455,3.727,0,6.0710025913184085,0,0.0,NOUN,1.0
adjust,6,4.364,5.727,5.667,3.094,3.0,5.897,4.294,3.758,3.882,0,6.959757435328418,0,0.0,VERB,1.0
admiral,7,5.029,5.882,6.613,5.706,5.606,3.969,4.906,4.909,5.97,0,6.461618563954016,0,0.0,NOUN,1.0
admire,6,6.294,7.625,5.875,2.71,3.75,6.1,4.667,4.625,3.088,0,6.341693045744894,0,0.0,VERB,2.0
admired,7,6.6,7.882,6.714,2.882,2.853,5.571,4.657,4.971,3.324,0,6.140781983242844,0,0.0,VERB,1.0
adopt,5,4.387,6.094,5.469,3.645,3.125,4.867,4.25,4.452,2.786,0,7.052014041103388,0,0.0,VERB,1.0
adorable,8,6.936,7.781,5.375,2.258,3.469,5.63,4.281,4.31,2.3,0,6.413778230436667,0,0.0,ADJ,2.0
adore,5,6.516,8.226,5.516,2.344,3.344,5.179,4.219,4.936,2.69,0,6.070495944224236,0,0.0,VERB,1.0
adult,5,5.059,5.882,6.091,4.933,5.433,6.552,2.706,4.452,4.156,0,7.989374592771802,0,0.0,NOUN,1.0
adultery,8,5.912,1.882,4.412,4.029,4.235,5.0,6.147,5.324,4.324,0,5.989669134390622,0,0.0,NOUN,0.0
adults,6,4.559,5.543,5.629,5.457,6.257,6.546,2.314,4.571,4.343,0,7.516501990769055,0,0.0,NOUN,1.0
advanced,8,5.382,6.606,6.118,2.765,3.088,6.094,4.882,5.088,4.031,0,8.239104593630696,0,0.0,ADJ,1.0
advantage,9,6.531,7.303,7.194,2.879,2.719,5.893,4.727,5.258,4.69,0,7.518032909587004,0,0.0,NOUN,2.0
adventure,9,7.853,7.971,7.313,2.912,4.743,5.576,2.941,6.118,4.794,0,7.541667004995141,0,0.0,NOUN,2.0
adverb,6,2.938,5.094,5.235,3.314,2.529,5.0,4.647,3.147,4.03,0,5.442509557195034,0,0.0,NOUN,1.0
adverse,7,4.371,3.091,3.636,2.455,2.529,4.743,5.765,4.765,4.353,0,7.047568218926404,0,0.0,NOUN,1.0
adversity,9,4.8,3.774,4.3,2.484,2.567,4.161,6.226,5.167,4.5,0,5.886209188552423,0,0.0,NOUN,1.0
advice,6,4.088,6.229,5.229,2.353,2.882,6.094,4.657,4.212,3.0,0,7.852898977135357,0,0.0,NOUN,1.0
advise,6,4.182,6.441,5.813,3.697,2.788,5.677,4.571,4.323,3.25,0,6.920388780727607,0,0.0,VERB,1.0
advisor,7,3.364,6.029,5.147,5.353,4.235,5.281,5.441,4.061,4.171,0,7.41027069408446,0,0.0,NOUN,1.0
advisors,8,3.606,6.0,4.774,4.71,4.625,5.781,5.677,4.71,4.032,0,6.797909088363849,0,0.0,NOUN,1.0
aeroplane,9,4.914,5.941,4.529,6.706,6.824,6.25,2.343,5.882,5.114,0,5.693141047559333,0,0.0,NOUN,1.0
afar,4,3.781,4.294,4.457,3.0,3.788,4.125,5.118,4.471,3.75,0,5.8847545938441,0,0.0,PROPN,1.0
affair,6,5.969,2.438,4.441,3.394,4.424,5.688,5.618,4.758,4.235,0,6.743968588787227,0,0.0,NOUN,0.0
affect,6,4.5,4.941,5.177,2.412,2.177,5.559,4.485,4.242,3.618,0,7.3874991159638785,0,0.0,VERB,1.0
affection,9,6.824,8.177,5.588,3.118,4.6,5.882,4.706,5.441,1.771,0,6.367860192598132,0,0.0,NOUN,2.0
affectionate,12,7.206,8.0,6.273,3.471,4.706,6.121,4.97,5.471,2.147,0,5.8535114371572625,0,0.0,ADJ,2.0
afford,6,4.853,5.879,5.2,3.576,3.364,5.706,4.314,4.273,4.457,0,7.014865233430261,0,0.0,VERB,1.0
affordable,10,4.774,6.8,4.857,3.2,3.171,5.971,4.771,3.588,3.941,0,7.335458021048115,0,0.0,ADJ,2.0
afraid,6,5.514,2.206,2.706,2.686,4.588,6.094,2.6,5.265,3.353,0,7.03578155429779,0,0.0,ADJ,1.0
after,5,4.382,5.143,4.576,3.314,2.743,5.781,2.257,3.971,4.059,0,8.571648391974882,0,0.0,ADV,1.0
afterlife,9,5.0,5.212,3.455,2.303,2.939,4.939,4.697,5.849,3.879,0,5.81766385135763,0,0.0,NOUN,1.0
age,3,3.514,4.939,4.714,3.971,3.286,6.4,1.971,4.471,3.914,0,8.122955243735591,0,0.0,NOUN,1.0
aged,4,2.857,3.879,3.849,3.441,4.371,5.485,4.371,4.424,4.429,0,7.2566597159332105,0,0.0,ADJ,1.0
agent,5,4.54,5.109,5.213,4.672,4.349,4.95,4.788,4.017,4.836,0,7.756663929582627,0,0.0,NOUN,1.0
aggression,10,6.182,2.281,5.242,3.548,4.515,4.815,5.152,5.484,5.969,0,6.404815250162756,0,0.0,NOUN,1.0
aggressive,10,6.455,2.094,5.909,3.03,4.094,5.533,4.636,5.226,6.033,0,6.866046076153806,0,0.0,ADJ,1.0
agile,5,6.333,6.941,5.788,3.606,4.5,4.273,5.382,3.771,3.303,0,6.257427763380121,0,0.0,ADJ,2.0
agility,7,5.939,6.778,6.543,3.515,3.657,4.781,5.333,4.206,4.086,0,6.257815799841214,0,0.0,NOUN,1.0
agony,5,5.515,1.546,3.091,3.152,4.323,5.29,4.242,5.515,4.063,0,6.188423621756676,0,0.0,NOUN,0.0
agree,5,5.382,7.382,6.794,3.118,3.333,6.781,3.118,4.727,3.647,0,7.676701938856005,0,0.0,VERB,1.0
agreement,9,5.531,7.714,5.485,3.171,3.727,5.906,4.647,4.879,3.5,0,8.046714870343884,0,0.0,NOUN,1.0
aid,3,5.219,6.909,5.031,4.364,4.097,5.6,4.424,4.455,3.71,0,7.6991649935223565,0,0.0,NOUN,1.0
aim,3,4.794,6.606,6.829,2.677,2.941,5.909,3.857,4.206,4.265,1,7.461667169570354,2,0.5922905,VERB,1.0
air,3,4.813,6.719,4.933,4.25,2.969,6.182,2.5,4.75,3.621,0,8.206422147935347,0,0.0,NOUN,1.0
airplane,8,5.265,5.794,5.455,6.706,6.849,6.294,2.177,5.735,5.091,0,6.717400024718925,0,0.0,NOUN,1.0
airport,7,5.767,5.387,5.531,6.5,6.581,5.63,3.094,5.719,4.407,0,7.829131700226163,0,0.0,NOUN,1.0
aisle,5,3.613,5.226,4.71,5.719,5.438,4.867,4.531,3.781,3.345,0,6.282694376004864,0,0.0,ADV,1.0
albatross,9,4.148,5.127,5.29,6.453,5.576,2.879,5.554,4.206,4.678,0,5.7428751058513505,0,0.0,NOUN,1.0
album,5,4.031,5.767,5.323,5.936,5.633,5.692,3.936,2.875,4.148,0,7.891617262403991,0,0.0,NOUN,1.0
alcohol,7,5.758,5.219,4.882,6.412,6.294,6.242,4.829,4.171,4.576,0,7.399009054008041,0,0.0,NOUN,1.0
alcoholic,9,4.686,2.0,2.886,4.5,5.469,6.0,5.686,4.571,5.229,0,6.59629122263393,0,0.0,ADJ,1.0
alert,5,6.625,5.719,6.194,3.182,3.387,5.231,4.406,4.966,4.308,0,7.511518761410794,0,0.0,NOUN,1.0
algebra,7,2.323,3.839,3.871,4.394,5.182,5.4,5.636,4.0,4.625,0,6.8349153776700335,0,0.0,NOUN,1.0
alien,5,5.091,4.686,4.2,4.324,5.824,5.03,3.314,4.529,4.857,0,7.020798423635876,0,0.0,ADJ,1.0
alimony,7,3.542,3.75,4.5,4.391,2.577,2.788,6.345,4.667,4.154,0,5.839405135089203,0,0.0,NOUN,1.0
alive,5,6.758,8.0,7.121,4.333,4.788,5.906,2.667,5.714,3.455,0,7.205874971696569,0,0.0,ADJ,2.0
all,3,3.625,5.469,5.419,3.313,2.969,6.645,1.807,5.839,4.0,0,9.305879908299078,0,0.0,DET,1.0
allergy,7,3.629,2.912,2.765,4.882,4.343,5.333,3.971,4.059,4.0,0,6.80981779066021,0,0.0,NOUN,1.0
alley,5,4.125,4.088,4.324,6.125,6.182,5.0,3.794,3.429,4.424,0,6.657196927818262,0,0.0,NOUN,1.0
alligator,9,5.656,4.364,3.719,6.546,6.677,5.267,2.824,4.765,4.971,0,6.151565039677098,0,0.0,NOUN,1.0
allow,5,4.088,6.206,5.727,2.971,2.412,6.129,2.824,4.059,3.882,0,7.826415408773673,0,0.0,VERB,1.0
allowed,7,4.706,6.571,4.914,2.971,2.6,6.2,3.059,4.727,3.914,0,7.648614959709019,0,0.0,VERB,1.0
allure,6,5.833,6.0,4.97,2.581,2.594,3.5,6.382,4.594,2.879,0,6.111306545929239,0,0.0,NOUN,1.0
aloft,5,4.069,5.267,5.065,3.379,3.138,3.03,5.774,4.0,3.897,0,5.696655136485449,0,0.0,ADV,1.0
alone,5,3.824,2.714,4.265,3.371,4.4,6.03,2.743,4.029,3.886,0,7.594684379971582,0,0.0,ADV,1.0
aloof,5,4.4,4.2,5.097,2.138,3.172,3.382,5.767,3.467,4.063,0,5.468776980719714,0,0.0,ADJ,1.0
aloud,5,5.457,5.314,5.857,3.8,3.486,5.484,3.429,4.886,3.941,0,6.573319368114693,0,0.0,PROPN,1.0
altar,5,3.758,4.719,4.968,5.875,6.0,3.828,4.364,4.194,4.107,0,6.419598092684104,0,0.0,NOUN,1.0
alter,5,4.727,5.242,4.719,3.906,4.219,4.571,4.333,4.0,3.5,0,6.8938359130354385,0,0.0,VERB,1.0
altitude,8,5.061,5.152,5.606,4.03,3.818,4.813,5.364,5.697,4.871,0,6.661148056762077,0,0.0,NOUN,1.0
amateur,7,3.824,4.147,3.657,3.229,3.086,5.029,5.6,3.029,4.286,0,7.625990285577957,0,0.0,NOUN,1.0
amaze,5,6.529,7.5,6.364,2.353,2.771,5.882,4.257,5.353,3.206,0,5.89854528500472,0,0.0,VERB,2.0
amazing,7,7.147,8.406,6.824,2.781,2.781,6.344,3.143,5.765,3.324,0,7.425374265036658,0,0.0,ADJ,2.0
ambassador,10,4.781,6.125,5.871,5.267,4.656,4.345,5.719,4.839,5.258,0,6.7832782595469885,0,0.0,NOUN,1.0
amber,5,4.933,5.733,4.645,5.188,5.129,4.724,4.438,3.387,2.857,0,7.043971317247277,0,0.0,NOUN,1.0
ambition,8,6.879,7.686,7.559,2.294,3.429,5.849,5.029,6.114,4.485,0,6.413760475430658,0,0.0,NOUN,2.0
ambulance,9,5.412,4.722,3.429,6.771,6.886,6.515,2.889,4.677,4.556,0,6.639853094190068,0,0.0,NOUN,1.0
ammunition,10,5.818,2.849,6.188,5.97,5.871,5.03,5.485,4.909,5.781,0,6.411914185692954,0,0.0,NOUN,1.0
amount,6,3.647,5.618,5.484,3.912,3.182,6.485,3.265,4.485,4.125,0,7.963975095342414,0,0.0,NOUN,1.0
amphibian,9,4.086,5.412,5.235,6.364,6.03,4.032,4.727,3.353,4.0,0,5.755495253590604,0,0.0,NOUN,1.0
amplifier,9,5.9,5.871,5.903,5.563,5.226,4.214,5.875,4.645,4.552,0,6.809195293077861,0,0.0,NOUN,1.0
amplify,7,5.97,5.758,6.455,3.879,3.531,4.871,5.636,5.484,4.485,0,5.75742487956602,0,0.0,VERB,1.0
amputate,8,4.714,2.294,3.743,5.177,5.629,4.206,5.2,5.059,4.818,0,4.588450991423812,0,0.0,VERB,1.0
amuse,5,6.059,7.412,6.0,2.879,3.688,5.879,4.088,4.424,3.853,0,5.744231942852019,0,0.0,VERB,1.0
amusement,9,6.486,7.629,6.543,3.771,4.571,5.794,4.088,4.8,3.629,0,6.563696873760344,0,0.0,NOUN,1.0
amusing,7,6.088,7.818,6.206,2.677,3.765,6.125,4.5,4.177,4.088,0,6.383750755383869,0,0.0,ADJ,2.0
analogue,8,3.394,4.971,5.031,3.914,3.382,3.588,5.824,3.514,4.382,0,6.424763740699379,0,0.0,NOUN,1.0
analyst,7,3.5,5.121,5.364,4.714,3.824,4.344,6.206,3.677,4.484,0,7.228355181513598,0,0.0,NOUN,1.0
anchor,6,3.629,5.171,5.143,6.471,6.618,5.242,3.571,4.382,5.343,0,6.93618095750119,0,0.0,NOUN,1.0
ancient,7,3.788,5.613,4.516,3.788,4.355,5.071,4.03,5.344,4.303,0,7.365982181566537,0,0.0,ADJ,1.0
anecdote,8,5.206,6.088,5.546,3.265,3.257,4.343,6.457,3.441,4.088,0,5.723068000013131,0,0.0,NOUN,1.0
angel,5,5.97,8.118,5.063,3.382,5.546,5.781,2.677,4.818,1.758,0,7.403019626110135,0,0.0,NOUN,2.0
anger,5,5.636,2.529,4.618,3.647,4.758,6.235,2.794,5.515,4.914,0,6.902603087188385,0,0.0,NOUN,0.0
angle,5,3.824,5.063,4.818,4.212,4.912,5.207,4.147,3.258,4.3,0,7.230859391093918,0,0.0,NOUN,1.0
angry,5,5.906,2.394,5.419,3.613,5.394,6.516,2.267,4.774,5.344,0,6.966962829012022,0,0.0,ADJ,0.0
anguish,7,4.771,2.457,3.788,2.559,3.629,3.735,5.943,4.857,3.857,0,5.952270685876307,0,0.0,NOUN,0.0
animal,6,5.323,6.206,5.485,6.424,6.647,6.333,1.857,4.257,3.97,0,7.796342971626297,0,0.0,NOUN,1.0
animals,7,5.807,6.939,5.576,6.406,6.706,6.613,1.794,4.588,3.824,0,7.764762922864548,0,0.0,NOUN,1.0
animosity,9,6.484,2.613,4.484,2.219,2.677,3.613,6.406,4.833,4.036,0,5.540594726423014,0,0.0,NOUN,1.0
ankle,5,3.807,5.152,5.0,6.733,6.724,6.346,2.774,2.484,3.621,0,6.61771235675261,0,0.0,NOUN,1.0
annoy,5,4.618,2.647,5.382,2.5,3.353,5.909,3.059,4.029,4.485,0,6.1754581755525315,0,0.0,VERB,1.0
annoyance,9,4.457,2.471,5.0,2.971,3.4,5.794,4.882,4.903,4.4,0,5.951575975233184,0,0.0,NOUN,0.0
annoying,8,4.235,2.697,4.088,3.324,3.677,6.424,3.029,4.529,4.242,0,6.744146785167947,0,0.0,ADJ,0.0
answer,6,4.4,6.057,5.8,3.941,4.031,6.344,2.829,4.382,3.909,0,7.810565560015838,0,0.0,NOUN,1.0
ant,3,3.029,4.647,4.514,6.629,6.743,5.546,2.0,1.5,4.206,0,6.7911784549342915,0,0.0,NOUN,1.0
anteater,8,4.032,5.219,5.333,6.742,6.433,3.471,4.0,3.8,4.594,0,4.956672572712677,0,0.0,NOUN,1.0
antelope,8,4.086,5.714,5.229,6.4,6.529,4.059,3.886,4.257,3.743,0,6.0848917863684155,0,0.0,NOUN,1.0
anthem,6,5.303,6.364,5.455,4.576,3.364,5.129,4.849,5.061,4.455,0,6.406140957009251,0,0.0,NOUN,1.0
anthropology,12,4.063,5.419,5.344,2.968,2.438,3.143,6.594,5.094,4.375,0,6.752903895120533,0,0.0,NOUN,1.0
anticipation,12,7.303,6.382,5.0,2.229,2.8,5.182,5.686,5.455,3.257,0,6.35443960651767,0,0.0,NOUN,1.0
anus,4,4.03,4.156,5.0,5.906,5.484,4.636,5.8,2.853,4.656,0,6.168064446404622,0,0.0,NOUN,1.0
anxiety,7,5.265,2.257,2.313,2.618,4.057,5.588,5.471,5.059,3.147,0,6.979504214634342,0,0.0,NOUN,0.0
anxious,7,5.686,2.657,3.265,2.657,3.806,6.0,5.306,4.618,3.056,0,6.474880750680729,0,0.0,ADJ,1.0
apathy,6,4.793,4.759,4.429,2.0,2.5,3.656,6.355,4.069,3.308,0,5.936662503070713,0,0.0,NOUN,0.0
ape,3,4.677,5.121,5.03,6.576,6.647,5.546,2.794,4.849,5.618,0,6.3862752507409875,0,0.0,NOUN,1.0
apex,4,4.276,5.846,5.44,4.25,4.069,3.121,6.267,4.333,4.103,0,6.546334596457963,0,0.0,NOUN,1.0
apologize,9,5.0,5.97,5.03,3.531,4.063,6.29,3.333,4.563,3.333,0,6.413624608857538,0,0.0,VERB,1.0
apology,7,4.5,6.088,5.371,3.059,3.0,5.939,3.242,4.706,3.265,0,6.309928535921616,0,0.0,NOUN,1.0
appalling,9,5.364,2.059,4.235,2.412,2.939,5.091,5.294,5.242,4.177,0,5.903983171649757,0,0.0,ADJ,0.0
appear,6,4.406,5.656,5.172,2.75,3.094,5.667,3.75,3.807,3.759,0,7.631454971231032,0,0.0,VERB,1.0
appearance,10,5.406,5.406,4.688,2.546,3.156,5.552,4.438,4.394,2.938,0,7.219443213453304,0,0.0,NOUN,1.0
appeared,8,5.065,5.677,5.323,2.7,2.625,5.643,3.875,4.035,3.75,0,7.231340021876317,0,0.0,VERB,1.0
applause,8,6.686,7.8,6.686,5.6,5.914,6.03,3.629,5.0,3.914,0,6.2319370209375675,0,0.0,NOUN,1.0
apple,5,4.677,6.147,5.485,6.824,6.909,6.719,1.529,2.441,3.424,1,7.703731220321639,2,1.7834919999999999,NOUN,1.0
appliance,9,3.364,5.257,5.242,5.353,5.057,5.618,4.909,3.912,4.4,0,6.954514823197668,0,0.0,NOUN,1.0
applied,7,3.758,5.839,5.742,2.727,2.188,5.069,5.469,4.194,4.156,0,7.652828311747911,0,0.0,VERB,1.0
apply,5,3.971,5.771,5.697,3.177,2.636,5.824,4.829,3.824,4.029,0,7.882760563800539,0,0.0,VERB,1.0
appoint,7,3.818,5.618,5.727,3.636,3.03,4.636,5.412,3.882,4.265,0,6.567804221446169,0,0.0,VERB,1.0
appointment,11,3.515,4.97,4.706,4.886,4.0,5.697,4.0,3.606,3.625,0,7.224319721642283,0,0.0,NOUN,1.0
appreciate,10,5.75,7.813,6.161,3.344,3.939,6.281,4.531,5.0,2.938,0,7.144225137430081,0,0.0,VERB,2.0
approval,8,5.714,7.441,4.794,3.314,3.441,5.941,4.886,4.912,3.343,0,7.544645160712285,0,0.0,NOUN,1.0
approve,7,5.061,6.939,6.546,3.097,3.206,5.719,4.4,4.294,3.606,0,6.97363545038452,0,0.0,VERB,1.0
apricot,7,4.188,5.939,5.121,6.5,6.697,5.677,3.206,2.441,3.206,0,6.137554119326199,0,0.0,NOUN,1.0
apron,5,3.724,5.226,4.344,6.452,6.613,4.615,3.226,2.719,2.0,0,6.208805892520753,0,0.0,NOUN,1.0
aptitude,8,4.5,5.939,6.118,2.818,2.03,4.03,6.382,4.688,4.455,0,6.0063402283839995,0,0.0,NOUN,1.0
arch,4,4.25,5.5,4.903,5.375,5.677,4.296,4.452,4.233,4.143,0,7.00173587562474,0,0.0,NOUN,1.0
archaeology,11,3.529,5.353,5.412,4.829,4.114,4.485,6.029,5.235,4.943,0,6.6776602326406636,0,0.0,NOUN,1.0
archer,6,4.273,4.97,6.088,6.25,6.303,4.125,4.576,3.824,5.177,0,6.441308260657622,0,0.0,PROPN,1.0
archery,7,4.677,5.758,6.206,5.706,6.03,4.344,4.857,3.824,4.6,0,6.459717182433338,0,0.0,NOUN,1.0
architect,9,4.242,5.771,5.314,6.0,5.2,5.343,5.286,4.314,5.143,0,6.952031349650009,0,0.0,NOUN,1.0
archive,7,3.571,5.4,5.0,5.429,4.371,4.4,5.657,4.912,4.057,0,8.049108911864566,0,0.0,NOUN,1.0
argue,5,5.257,2.771,5.2,4.086,4.914,6.161,3.057,4.743,4.206,0,6.921873935811067,0,0.0,VERB,1.0
